P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Hmel.mal.col	Hmel.ama.per	Hmel.mel.gui	0.0651408	25.6509	2.3e-16	0.0614841	317156	239572	210269
Hmel.ama.per	Hmel.mal.col	Hmel.ros.pan	0.0394877	17.4534	2.3e-16	0.0319961	487165	209766	193828
Hmel.ama.per	Hmel.mal.col	Hmel.vul.col	0.0391785	17.8726	2.3e-16	0.0282276	494364	212094	196102
Hmel.ama.per	Hmel.mal.col	Htim.flo.per	0.0136431	4.09617	4.20039e-05	0.0112349	443572	224324	218286
Hmel.mal.col	Hmel.ama.per	Htim.the.per	0.0234801	6.38621	1.70046e-10	0.020127	425211	234939	224160
Hmel.ama.per	Hmel.mel.gui	Hmel.ros.pan	0.105026	19.2487	2.3e-16	0.0974369	386927	236339	191414
Hmel.ama.per	Hmel.mel.gui	Hmel.vul.col	0.102211	18.926	2.3e-16	0.0834447	391590	236902	192964
Hmel.mel.gui	Hmel.ama.per	Htim.flo.per	0.121293	25.4631	2.3e-16	0.0958853	384052	247753	194153
Hmel.mel.gui	Hmel.ama.per	Htim.the.per	0.145556	27.8419	2.3e-16	0.119653	366577	264289	197128
Hmel.vul.col	Hmel.ros.pan	Hmel.ama.per	0.00301982	1.41858	0.156022	0.00264033	524949	204502	203271
Htim.flo.per	Hmel.ama.per	Hmel.ros.pan	0.0426854	6.32818	2.48064e-10	0.046062	347671	286241	262804
Htim.the.per	Hmel.ama.per	Hmel.ros.pan	0.0455233	6.96663	3.24624e-12	0.0466373	377317	276536	252455
Htim.flo.per	Hmel.ama.per	Hmel.vul.col	0.0349525	5.33564	9.5206e-08	0.0339411	350936	287344	267936
Htim.the.per	Hmel.ama.per	Hmel.vul.col	0.0357096	5.61596	1.95474e-08	0.0330694	381223	277878	258717
Htim.flo.per	Htim.the.per	Hmel.ama.per	0.0811779	16.3337	2.3e-16	0.0943361	513007	240187	204119
Hmel.mal.col	Hmel.mel.gui	Hmel.ros.pan	0.0675465	11.4655	2.3e-16	0.0684861	361543	240896	210412
Hmel.mal.col	Hmel.mel.gui	Hmel.vul.col	0.0650695	11.2199	2.3e-16	0.0578082	366036	241473	211968
Hmel.mel.gui	Hmel.mal.col	Htim.flo.per	0.128071	26.2313	2.3e-16	0.10659	362290	261453	202087
Hmel.mel.gui	Hmel.mal.col	Htim.the.per	0.120087	22.5024	2.3e-16	0.102404	349647	267151	209867
Hmel.vul.col	Hmel.ros.pan	Hmel.mal.col	0.00356473	1.70307	0.0885545	0.00341923	511019	208118	206640
Htim.flo.per	Hmel.mal.col	Hmel.ros.pan	0.070549	10.689	2.3e-16	0.0765738	347284	294952	256078
Htim.the.per	Hmel.mal.col	Hmel.ros.pan	0.0742786	11.7197	2.3e-16	0.0779836	363985	290221	250088
Htim.flo.per	Hmel.mal.col	Hmel.vul.col	0.0627106	9.67734	2.3e-16	0.0612477	350569	296183	261227
Htim.the.per	Hmel.mal.col	Hmel.vul.col	0.0641529	10.2727	2.3e-16	0.0608758	367644	291537	256386
Htim.flo.per	Htim.the.per	Hmel.mal.col	0.044138	10.8348	2.3e-16	0.0541865	512592	230520	211031
Hmel.vul.col	Hmel.ros.pan	Hmel.mel.gui	0.00725266	3.34967	0.000809081	0.00469457	453336	200154	197272
Hmel.ros.pan	Hmel.mel.gui	Htim.flo.per	0.0480974	6.10579	1.02293e-09	0.0425007	314302	272268	247280
Htim.the.per	Hmel.ros.pan	Hmel.mel.gui	0.0333728	2.65759	0.00787021	0.0323002	241048	308927	288973
Hmel.vul.col	Hmel.mel.gui	Htim.flo.per	0.0427411	5.3199	1.03823e-07	0.0381655	313694	274253	251770
Htim.the.per	Hmel.vul.col	Hmel.mel.gui	0.0288395	2.34954	0.0187966	0.0277947	246282	308383	291094
Htim.flo.per	Htim.the.per	Hmel.mel.gui	0.0548511	14.3686	2.3e-16	0.0334081	529630	204023	182805
Hmel.ros.pan	Hmel.vul.col	Htim.flo.per	0.0077409	3.3283	0.000873786	0.00488724	537674	202859	199743
Hmel.ros.pan	Hmel.vul.col	Htim.the.per	0.0104981	4.5954	4.3191e-06	0.00640132	543064	204976	200717
Htim.the.per	Htim.flo.per	Hmel.ros.pan	0.00224368	0.865395	0.386822	0.00164963	585930	189176	188329
Htim.flo.per	Htim.the.per	Hmel.vul.col	0.000159592	0.0606544	0.951634	0.000105949	588950	191143	191082
